fecha,inflacion_mensual_pct
2019-06-30,2.7
2019-07-31,2.2
2019-08-31,4.0
2019-09-30,5.9
2019-10-31,3.3
2019-11-30,4.3
2019-12-31,3.7
2020-01-31,2.3
2020-02-29,2.0
2020-03-31,3.3
2020-04-30,1.5
2020-05-31,1.5
2020-06-30,2.2
2020-07-31,1.9
2020-08-31,2.7
2020-09-30,2.8
2020-10-31,3.8
2020-11-30,3.2
2020-12-31,4.0
2021-01-31,4.0
2021-02-28,3.6
2021-03-31,4.8
2021-04-30,4.1
2021-05-31,3.3
2021-06-30,3.2
2021-07-31,3.0
2021-08-31,2.5
2021-09-30,3.5
2021-10-31,3.5
2021-11-30,2.5
2021-12-31,3.8
2022-01-31,3.9
2022-02-28,4.7
2022-03-31,6.7
2022-04-30,6.0
2022-05-31,5.1
2022-06-30,5.3
2022-07-31,7.4
2022-08-31,7.0
2022-09-30,6.2
2022-10-31,6.3
2022-11-30,4.9
2022-12-31,5.1
2023-01-31,6.0
2023-02-28,6.6
2023-03-31,7.7
2023-04-30,8.4
2023-05-31,7.8
2023-06-30,6.0
2023-07-31,6.3
2023-08-31,12.4
2023-09-30,12.7
2023-10-31,8.3
2023-11-30,12.8
2023-12-31,25.5
2024-01-31,20.6
2024-02-29,13.2
2024-03-31,11.0
2024-04-30,8.8
2024-05-31,4.2
2024-06-30,4.6
2024-07-31,4.0
2024-08-31,4.2
2024-09-30,3.5
2024-10-31,2.7
2024-11-30,2.4
2024-12-31,2.7
2025-01-31,2.2
2025-02-28,2.4
2025-03-31,3.7
2025-04-30,2.8
2025-05-31,1.5
2025-06-30,1.6
2025-07-31,1.9
2025-08-31,1.9
2025-09-30,2.1
2025-10-31,2.3
2025-11-30,2.5
2025-12-31,2.8
2026-01-31,2.9
2026-02-28,2.9
2026-03-31,3.4
2026-04-30,2.6
2026-05-31,2.1
2026-06-30,1.9
